"sleep","totwrk","educ","male","marr","age","earns74","black","union","case","clerical","construc","gdhlth","inlf","leis1","leis2","leis3","smsa","lhrwage","lothinc","prot","rlxall","selfe","slpnaps","south","spsepay","spwrk75","worknrm","workscnd","exper","yngkid","yrsmarr","hrwage","agesq"
2920,5020,14,1,0,31,9500,0,0,2,0,0,1,1,2140,2140,2140,0,0.357674,0,1,2920,1,2920,1,0,0,5020,0,11,0,0,1.429999,961
2670,2815,17,1,1,44,42500,0,0,3,0,0,1,1,4595,4505,4227,1,3.021887,0,0,3038,1,2760,0,20000,1,2815,0,21,0,0,20.53,1936
3083,3786,12,0,1,30,42500,0,0,4,0,0,1,1,3211,3211,3211,0,2.263844,0,1,3083,1,3083,0,5000,1,3786,0,12,0,12,9.619998,900
3448,2580,14,1,1,64,2500,0,0,5,0,0,1,1,4052,4007,4007,0,1.011601,9.328213,1,3493,0,3493,0,2400,1,2580,0,44,0,33,2.75,4096
4063,1205,12,1,1,41,0,0,0,6,0,0,1,1,4812,4797,4797,0,2.957511,10.65728,1,4078,0,4078,0,0,0,0,1205,23,0,23,19.25,1681
3180,2113,12,1,1,35,8250,0,0,7,0,0,1,1,4787,4157,4157,0,0.364643,8.987322,1,3810,0,3810,0,12000,1,2113,0,17,1,0,1.44,1225
2928,3608,13,1,1,47,0,0,0,8,0,0,1,1,3544,3469,3439,1,2.708717,10.65728,1,3033,1,3003,0,0,0,3608,0,28,0,24,15.01001,2209
3368,2353,17,1,1,32,18750,0,1,9,0,0,1,1,4359,4359,4121,0,1.465567,0,0,3606,0,3368,0,0,0,2353,0,9,0,11,4.329998,1024
3018,2851,15,1,1,30,11750,0,0,10,0,0,1,1,4211,4061,4061,1,1.085189,8.853808,0,3168,1,3168,0,6000,1,2851,0,9,0,7,2.959999,900
1575,6415,8,1,1,43,21250,0,0,11,0,0,1,1,2090,1677,1677,0,0.875469,0,1,1988,0,1988,0,0,0,6415,0,29,0,23,2.400001,1849
3295,370,16,0,1,23,1000,0,0,12,0,0,1,1,6415,6355,6230,1,0.207014,7.313887,0,3480,0,3355,0,3000,1,370,0,1,0,4,1.23,529
3798,2438,16,1,1,24,1000,0,0,13,0,0,1,1,3844,3844,3794,1,0.207014,7.313887,0,3848,0,3798,0,3000,1,2438,0,2,0,4,1.23,576
3008,2693,5,1,1,48,18750,0,0,14,0,0,1,1,4379,4379,4379,0,1.724551,8.517393,1,3008,0,3008,0,6000,1,2693,0,37,0,0,5.610002,2304
3248,2526,12,1,1,33,6750,0,0,15,0,0,1,1,4306,4306,3988,1,1.141033,8.853808,1,3566,0,3248,0,9000,1,2526,0,15,0,9,3.13,1089
3683,2950,12,1,1,23,4500,0,0,16,0,0,0,1,3447,3447,3447,0,0.837247,8.699681,1,3683,1,3683,0,5000,1,2950,0,5,0,4,2.309999,529
3201,3003,17,1,1,46,32500,0,0,17,0,0,1,1,3876,3876,3876,1,2.292535,9.210441,0,3201,0,3201,0,3000,1,3003,0,23,0,21,9.900003,2116
2580,4011,14,1,1,37,13750,0,0,18,0,0,1,1,3489,3489,3489,0,1.376244,0,1,2580,1,2580,0,1000,1,4011,0,17,1,17,3.96,1369
3420,2300,12,1,1,53,0,0,0,19,0,0,1,1,4360,4255,4205,1,1.193922,9.371694,1,3575,0,3525,0,0,0,2300,0,35,0,26,3.299999,2809
